"table_schema","table_name"
"public","test_store_overviews"
"public","store_summary_table"
"public","dim_customer"
"public","country_region"
"public","my_store_overviews"
"public","dim_date"
"public","dim_product"
"public","forview"
"public","new_store_overview"
"public","test_store_overviews_2"
"public","dim_store"
"public","orders"
"public","my_store_overviewsnew"
"public","test"
"public","my_store_overviews_2"
"public","forquerying2"
